Question,Answer,Ref,P,R,F1,Time,SuccessFlag,Error
"Hi doctor, I've been experiencing extreme thirst, frequent urination, and fatigue. I also have a fruity breath odor. I'm worried because I had a relative who had diabetes. ","Based on the symptoms described, the patient may haveBased on the symptoms described, the patient may have condition characterized by excessive thirst, the patient may have diabetes, which is a condition characterized by excessive thirst, frequent urination, fatigue, and fruity breath odor. To confirm the diagnosis, the patient should undergo blood tests to check their blood sugar levels. Recommended medications for diabetes include insulin injections or oral medications such as metformin, which help regulate blood sugar levels. It is also important for the patient to manage their diet, exercise regularly, and monitor their blood sugar levels regularly.","['Based on your symptoms, you may be experiencing hyperosmotic hyperketotic state. To diagnose this condition, we need to perform a series of medical tests including Hematologic tests, Glucose measurement, Complete blood count, Intravenous fluid replacement, Cardiac enzymes measurement, Electrocardiogram, and Kidney function tests.']",0.7844,0.8052,0.7947,32.3360,1,
"Doctor, I've been experiencing intense pain on one side of my throat, difficulty swallowing and a high fever.","Based on the symptoms described, the patient may haveBased on the symptoms described, the patient may have abscess of the mouth, the patient may have cellulitis or an abscess of the mouth, which can cause intense pain on one side of the throat, difficulty swallowing, and a high fever. To confirm the diagnosis, the patient should undergo a physical examination of the throat and possibly imaging studies such as an ultrasound or CT scan to identify any abscesses. Recommended treatments for cellulitis or an abscess include antibiotics to fight infection and, in some cases, surgical drainage of the abscess. It is also important to rest, stay hydrated, and avoid irritants such as smoking and spicy foods.","[""Based on your symptoms, it sounds like you might have a peritonsillar abscess. In order to confirm the diagnosis and determine the severity, we'll need to run some tests. You'll need a blood test, a CBC, and a kidney function test to assess how well your organs are functioning. We'll also need to check your electrolyte and glucose levels. Additionally, we may need to administer IV fluids to keep you hydrated during your treatment. Lastly, a CT scan will be required to determine the extent of the abscess.""]",0.8040,0.8153,0.8096,30.7153,1,
"Hi doctor, I have been experiencing symptoms such as nausea, vomiting, bloating and abdominal pain after I eat. I think I might have Gastroparesis. ","Based on the symptoms described, such as nausea, vomiting, bloating, and abdominal pain after eating, the patient may be experiencing Gastroparesis. To confirm this diagnosis, several medical examinations are recommended. These include blood tests like complete blood count (CBC), hematologic tests, kidney function tests, liver function tests, glucose measurement, electrolytes panel, and urinalysis. Radiographic imaging procedures such as X-ray computed tomography (CT scan) and ultrasonography might also be necessary to visualize the gastrointestinal tract. In some cases, a biopsy could be required for further evaluation.

Regarding treatment, medications that can help manage the symptoms of Gastroparesis include prokinetic agents like metoclopramide, which helps improve stomach emptying, and antiemetics like ondansetron to control nausea and vomiting. Additionally, antacids or H2 blockers like ranitidine may be prescribed to reduce stomach acid production. It is important to follow a diet plan that includes small, frequent meals and avoids high-fat foods, which can delay stomach emptying. Consultation with a healthcare provider is crucial to develop an appropriate management plan tailored to the individual's needs.","[""Alright, we can start with some hematologic tests such as a complete blood count (CBC) to check for any abnormalities in your blood. We'll also want to measure your glucose level as well as do an electrolyte panel and kidney function test. We'll also need to give you some intravenous fluid replacement and do a urinalysis to make sure everything is functioning properly.""]",0.7474,0.8146,0.7796,38.5516,1,
"Doctor, I have been feeling very tired lately and have been experiencing shortness of breath. I also have pain in my chest and joints.","Based on the symptoms described, the patient may haveBased on the symptoms described, the patient may have which is a chronic liver disease the patient should undergo blood tests to evaluate liver function and imaging studies such as an ultrasound or CT scan of the liver. Recommended medications for cirrhosis include diuretics to manage fluid retention and beta-blockers to reduce the risk of bleeding from esophageal varices. It is also important for the patient to avoid alcohol and maintain a healthy diet. Additionally, the patient's shortness of breath could be related to cirrhosis-induced pulmonary complications, so further evaluation by a healthcare provider is necessary.","['Based on your symptoms, I would like to perform a CT scan of your abdomen as well as a bone marrow transplant (BMT).']",0.7193,0.7941,0.7549,33.8529,1,
"Doctor, I have been feeling very fatigued lately and my skin looks pale. I also have bruises all over my body which seem to take forever to heal. ","Based on the symptoms described, the patient may have Von Hippel-Lindau disease. This condition can cause fatigue, pale skin, and bruises that take a long time to heal. To confirm the diagnosis, the patient should undergo medical examinations such as genetic testing and imaging studies. Recommended treatments for Von Hippel-Lindau disease include surgery to remove tumors and medications to manage symptoms. It is also important for the patient to maintain a healthy lifestyle and receive regular follow-up care from their healthcare provider.","['Based on your symptoms, I would like to order some blood tests. We will be testing your blood for a condition called thrombocytopenia. The tests include hematologic tests, complete blood count (CBC), glucose measurement, electrolytes panel, kidney function tests, hemoglobin A1c measurement, and a complete physical skin exam performed.']",0.7412,0.7643,0.7526,32.9782,1,
"Doctor, I think I have head and neck cancer. I have noticed some lumps on my neck and I have difficulty swallowing. ","Based on the symptoms described, the patient may haveBased on the symptoms described, the patient may have which can cause lumps in the patient may have head and neck cancer, which can cause lumps in the neck and difficulty swallowing. To confirm the diagnosis, the patient should undergo a thorough medical examination including imaging tests such as ultrasonography, complete blood count, hematologic tests, biopsy, and X-ray computed tomography. Recommended treatments for head and neck cancer may include surgery, radiation therapy, and chemotherapy. It is important to consult with an oncologist to determine the best course of treatment based on the specific type and stage of cancer.","[""I'm sorry to hear that. In order to confirm the diagnosis, we will need to perform a biopsy. It involves taking a small sample of the lump and examining it under a microscope. Additionally, we will need to perform a Complete blood count (Cbc) to check for any abnormalities in your blood. We will also need to do a Magnetic resonance imaging (Mri) and an X-ray computed tomography (Scan ct) to get a better look at the extent of the cancer. We may also require to perform Therapeutic radiology for cancer treatment (Irradiation) to kill cancer cells in the affected areas. We will also have to monitor wound care management and perform Occupational therapy assessment (Speech therapy) to ensure the best possible outcome.""]",0.7978,0.7956,0.7967,35.9123,1,
"Doctor, I've been experiencing muscle spasms and tingling sensations in my fingers and toes. I was diagnosed with pseudohypoparathyroidism a few years ago and I think it's getting worse.","Based on the symptoms described, the patient may beBased on the symptoms described, the patient may beeudohypoparathy the patient may be experiencing worsening pseudohypoparathyroidism, which can lead to muscle spasms and tingling sensations in the fingers and toes. To confirm the diagnosis and assess the condition's progression, the patient should undergo a series of medical examinations. These could include magnetic resonance imaging (MRI), plain x-ray, and hematologic tests (blood test). Additionally, an electrocardiogram and glucose measurement might be necessary to evaluate overall health.

For managing symptoms related to pseudohypoparathyroidism, medications such as rosuvastatin, triazolam, and gadoteridol could be considered. Other potential treatments might include physical therapy exercises and other therapeutic procedures on muscles and tendons to alleviate muscle spasms. It is important for the patient to follow up with their healthcare provider to tailor the treatment plan to their specific needs.","['In order to assess your condition, we will need to perform a few medical tests. We will start with a radiographic imaging procedure and a plain x-ray to get a better look at the affected areas. We will also need to do a complete physical skin exam to check for any related symptoms. Additionally, an electrolytes panel and liver function test will be required to assess your overall health. Depending on the results of these tests, we may also need to do a magnetic resonance imaging (MRI) to get a more detailed look at your condition. Lastly, debridement of any wounds, infections or burns should also be considered.']",0.7756,0.8279,0.8009,33.1064,1,
"Doctor, I have been experiencing swelling in my neck and difficulty in swallowing. I am worried it could be goiter.","Based on the symptoms described, the patient may haveBased on the symptoms described, the patient may have is an enlargement of the the patient should undergo a physical examination of the neck and possibly a thyroid ultrasound or radiographic imaging procedure. Recommended tests include a complete blood count (CBC), thyroid function tests, and possibly a biopsy if needed. It is also recommended to avoid iodine-rich foods and consult with a healthcare professional for further evaluation and treatment options.","[""Based on your symptoms, we need to conduct a few tests to confirm if it is goiter. We need to perform a Hematology test, an ultrasound, a lipid panel, a complete physical skin exam, and a biopsy. Once we have the results of the tests, we can confirm the diagnosis. In some cases, we may also recommend an excision to remove the goiter depending on the severity of the condition. Additionally, we'll need to perform a Hemoglobin A1c measurement test to ensure you don't have diabetes which can exacerbate this condition.""]",0.8100,0.7978,0.8039,29.5884,1,
"Doctor, I have been experiencing sudden and strong urges to urinate, which often result in involuntary leakage. I'm embarrassed to bring it up, but I can't ignore it anymore. ","Based on the symptoms described, the patient may be experiencing urinary incontinence, which involves involuntary leakage of urine. To diagnose the underlying cause, several medical examinations and tests are recommended. These include a standard pregnancy test to rule out pregnancy-related issues, a complete blood count (CBC) to check for any infections or abnormalities, a pelvic exam to assess the reproductive organs, and a urinalysis to examine the urine for signs of infection or other abnormalities. Additionally, ultrasonography (ultrasound) can provide detailed images of the bladder and surrounding structures, while physical therapy exercises may help strengthen pelvic floor muscles. Other diagnostic procedures such as radiographic imaging, rectal examination, and mammography might also be necessary depending on the specific circumstances. Psychotherapy could be beneficial if there are underlying psychological factors contributing to the condition. It is important to consult with a healthcare professional to determine the most appropriate course of action based on individual needs.","[""Thank you for sharing that with me. We'll need to run some medical tests to determine the cause of your incontinence. The first test we'll need to do is a urinalysis to check for any urinary tract infections or other abnormalities in your urine. We'll also need to do a pelvic exam to check for any physical abnormalities that could be contributing to your condition. Additionally, we'll need to do a prostate-specific antigen measurement test and a rectal examination to check for any issues with your prostate. An ultrasound may also be needed to get a better look at your bladder and other organs in your pelvis. Finally, we'll need to do a lipid panel to evaluate your cholesterol levels, which can sometimes impact bladder function.""]",0.8177,0.8238,0.8207,33.3283,1,
"Doctor, I have a deep cut on my arm that won't stop bleeding. What's wrong with me?","Based on the symptoms described, the patient may have a condition that requires immediate medical attention due to a deep cut on the arm that won't stop bleeding. To confirm the diagnosis and assess the severity of the injury, the patient should undergo a physical examination of the wound and possibly imaging studies such as an X-ray or ultrasound to check for any underlying damage. Recommended treatments for such injuries include applying pressure to the wound to control bleeding, cleaning the wound thoroughly, and possibly administering stitches or other forms of wound closure. It is also important to monitor for signs of infection and seek follow-up care as needed.","['It sounds like you have an open wound. The first thing we need to do is suturing of the wound to stop the bleeding. After that, we need to do a plain x-ray to check if there are any foreign objects in the wound. We also need to manage the wound care and potentially apply a splint. Lastly, we may need to do a toxicology screen and blood alcohol test. In severe cases, we might have to do a CAT scan of your head to rule out any nerve damage.']",0.8174,0.8159,0.8167,30.2636,1,
"Hi Doctor, I've been having some difficulty with my muscles lately. I've been feeling a lot weaker and it's been affecting my ability to move around. I'm also experiencing muscle spasms and cramps more frequently.","Based on the symptoms described, the patient may have rotator cuff injury or spondylitis. To confirm the diagnosis, the patient should undergo a physical examination and possibly imaging studies such as an MRI or X-ray. Recommended treatments for rotator cuff injury include rest, physical therapy, and in some cases, surgery. For spondylitis, treatments may include anti-inflammatory medications, pain relievers, and physical therapy. It is also important to maintain good posture and avoid activities that worsen symptoms.","['Based on your symptoms, it sounds like you may have muscular dystrophy. To confirm this diagnosis, we will need to perform several medical tests. The first test we will perform is a complete physical skin exam to evaluate the condition of your muscle tissue. We will also need to do an electrocardiogram to check the functioning of your heart. In addition, we will need to conduct other diagnostic procedures such as interviews and evaluations to understand the extent of the disease. Finally, an occupational therapy assessment and referral to home health care service may be necessary to help you manage your symptoms. We may also recommend physical therapy exercises and other therapeutic procedures to help you regain some of your mobility.']",0.8109,0.7948,0.8027,33.0372,1,
"Doctor, my eye has been hurting a lot lately. It feels like there's something in there.","Based on the symptoms described, the patient may haveBased on the symptoms described, the patient may have cornea infection, diab the patient should undergo a medical examination of the eye and possibly further specific tests such as an ophthalmologic evaluation. Recommended treatments for these conditions can vary widely and may include anti-inflammatory drugs, antibiotics, or surgical intervention depending on the specific diagnosis. It is also recommended to avoid rubbing the eye and to follow any additional instructions provided by the healthcare professional.","[""It sounds like you may have a corneal abrasion. We'll need to take a closer look and do a few tests. First, we'll need to do a nonoperative removal of any foreign body in your eye, followed by wound care management. After that, we'll need to do an ophthalmic examination and evaluation to take a closer look at your eye.""]",0.7654,0.8019,0.7832,33.1550,1,
"Doctor, I have been feeling really tired and weak lately, even after getting a lot of rest. I did some research and I think I might have Anemia of chronic disease, what tests should I get done to confirm it?","Based on the symptoms described, such as fatigue andBased on the symptoms described, such as fatigue and have Anemia of chronic disease an iron panel test can be useful to assess iron stores and rule out iron deficiency anemia. A reticulocyte count can also provide information about bone marrow function. Electrolytes and kidney function tests may be necessary to ensure there are no underlying issues contributing to the symptoms. If these tests suggest anemia, further evaluation by a healthcare provider is recommended to determine the underlying cause and appropriate treatment plan.","['Based on what you are saying, it is possible for you to have anemia of chronic disease. To confirm this, I would recommend doing a few medical tests such as a complete blood count (CBC), a glucose measurement to check your blood sugar levels, an electrolyte panel, and an electrocardiogram. Also, we will need to do a Hemoglobin A1c measurement test along with a complete physical skin exam to rule out any other possibilities.']",0.8045,0.8029,0.8037,31.4578,1,
"Doctor, I have been feeling down and depressed for a long time. I wake up every morning feeling sad and anxious. I feel like I am always in a low mood and can't seem to shake it off. ","Based on the symptoms described, the patient may be experiencing depression, which is characterized by persistent feelings of sadness and anxiety. To confirm the diagnosis, the patient should undergo a thorough evaluation by a healthcare professional, including a physical examination and possibly psychological assessments. Recommended treatments for depression include medication such as antidepressants, psychotherapy, and lifestyle changes like regular exercise and maintaining a healthy diet. It is also important to seek support from friends, family, or support groups to help manage the condition effectively.","['I understand, it sounds like you may be experiencing dysthymic disorder. I recommend that you undergo a depression screen to confirm the diagnosis. Additionally, you should undergo psychological and psychiatric evaluation to determine the best course of treatment, which may include psychotherapy and mental health counseling. As for the other tests you mentioned, a lipid panel and toxicology screen would not be necessary for this particular condition. Finally, varicose vein stripping is not related to this issue and is not required.']",0.8210,0.8019,0.8113,29.7467,1,
"Doctor, I think I might have Scarlet fever. I have a rash all over my body and my throat is sore.","Based on the symptoms described, the patient may haveBased on the symptoms described, the patient may have is characterized by a rash the patient should undergo a complete physical skin exam and possibly a diagnostic procedure on the nose, mouth, and pharynx, such as a tracheoscopy and laryngoscopy with biopsy. Recommended medications for Scarlet fever include antibiotics such as penicillin or erythromycin to treat the underlying streptococcal infection. It is also important to rest, drink plenty of fluids, and avoid contact with others to prevent the spread of the infection.","['Based on your symptoms, I would like to perform a complete physical skin exam to confirm the diagnosis. Additionally, I would like to conduct an Influenzavirus antibody assay to rule out concurrent influenza infection.']",0.7502,0.8246,0.7857,34.8488,1,
"Doctor, I have been experiencing shortness of breath, fatigue and swelling in my legs lately. My previous medical history also indicates that I have high blood pressure. Could it be related to my heart?","Based on the symptoms described, including shortness ofBased on the symptoms described, including shortness of swelling in the legs, along along with a history of high blood pressure, it is possible that these issues are related to heart-related conditions. To confirm this diagnosis, the patient should undergo several medical examinations. These may include an electrocardiogram (ECG) to assess heart function, echocardiography to visualize the heart's structure and movement, and possibly cardiac stress tests to evaluate how the heart performs under exertion. Additionally, complete blood count (CBC), glucose measurement, and hematologic tests can provide further insights into overall health and potential underlying causes. It is also advisable to measure electrolytes and perform kidney function tests to ensure there are no other systemic issues contributing to the symptoms. Consulting a healthcare professional for a thorough evaluation is crucial to determine the appropriate course of action.","['Yes, it is possible that you are suffering from hypertensive heart disease. In order to confirm the diagnosis and evaluate the extent of the disease, I would recommend you to undergo a series of medical tests such as hematologic tests (blood test), complete blood count (CBC), electrocardiogram, glucose measurement (glucose level), lipid panel, ultrasonography (ultrasound), and a complete physical skin exam performed (ML). These tests will help me to understand the severity of your condition and provide you with an appropriate treatment plan.']",0.8028,0.8451,0.8234,33.5269,1,
"Hi Doctor, I have been struggling with drug abuse of barbiturates lately. I feel like it's taking a toll on my mental and physical health. ","Based on the symptoms described, it appears that you may be experiencing negative effects from barbiturate abuse. Barbiturates like Phenobarbital can lead to a range of symptoms including hostile behavior, headaches, depressive or psychotic symptoms, vomiting, and dizziness. To address these issues, it is crucial to seek professional medical help immediately. A healthcare provider will likely conduct a thorough evaluation, which may include a physical examination and possibly blood tests to assess the extent of the drug's impact on your health. Treatment options might involve gradually tapering off the drug under medical supervision, as well as receiving support for any underlying mental health conditions. Additionally, engaging in therapy and support groups can be beneficial for long-term recovery. It is important to avoid further use of barbiturates and to follow the guidance provided by your healthcare team to improve both your mental and physical well-being.","[""I'm sorry to hear that. We need to start with mental health counseling and psychotherapy. Also, we need to perform a series of tests to analyze the levels of drugs and alcohol in your system. This includes Urinalysis, Blood Alcohol levels, and a Toxicology Screen. We also need to perform a Psychological and Psychiatric evaluation and Therapy to develop a treatment plan that is tailored to your individual needs. Lastly, we need to perform a Depression Screen to check if you are suffering from Depression.""]",0.7654,0.8054,0.7849,32.0083,1,
"Hi doctor, I have been experiencing irregular periods and excessive hair growth on my face and body. I also experience acne on my skin from time to time. ","Based on the symptoms described, the patient may beBased on the symptoms described, the patient may beovary syndrome (PCOS the patient may be experiencing polycystic ovary syndrome (PCOS), which can cause irregular periods, excessive hair growth, and acne. To confirm the diagnosis, the patient should undergo a series of medical examinations including a complete blood count (CBC), ultrasonography (ultrasound), an examination of the breast, urinalysis, and a standard pregnancy test. These tests will help to rule out other conditions and provide a clearer picture of the patient's health.

In terms of treatment, medications such as butoconazole topical, human chorionic gonadotropin (hCG), goserelin (Zoladex), norethindrone (Loestrin Fe), sevoflurane, interferon gamma-1b (Actimmune), progesterone, and propofol may be prescribed to manage the symptoms associated with PCOS. Additionally, lifestyle changes such as maintaining a healthy weight, eating a balanced diet, and exercising regularly can also help to alleviate symptoms. It is important for the patient to consult with their healthcare provider to determine the best course of treatment for their specific case.","['It sounds like you may be suffering from Polycystic Ovarian Syndrome or PCOS. To confirm the diagnosis, we will need to conduct a series of medical tests including hematologic tests, a pelvic exam, and ultrasonography. We will also need to examine your breasts, perform a lipid panel test, and check if you are pregnant with a standard pregnancy test. Finally, we will need to conduct a Hemoglobin A1c measurement to check for insulin resistance.']",0.7693,0.8376,0.8020,41.1653,1,
"Doctor, I have been experiencing severe headaches and confusion lately. I am also having difficulty speaking and understanding things. What could be wrong with me?","Based on the symptoms described, the patient may haveBased on the symptoms described, the patient may have_hydrocephalus, the patient may have Normal_pressure_hydrocephalus, which is a condition characterized by headaches, difficulty speaking, and confusion. To confirm the diagnosis, the patient should undergo a neurological examination and possibly imaging studies such as an MRI or CT scan to assess the brain's ventricles. Recommended treatments for Normal_pressure_hydrocephalus include surgical interventions like a shunt placement to drain excess cerebrospinal fluid. It is also important to manage any underlying conditions that may contribute to the symptoms, such as controlling blood pressure or addressing any infections.","['Based on your symptoms, it is possible that you are suffering from encephalitis. In order to confirm this, we will need to conduct a few medical tests. We will need to do radiographic imaging and a magnetic resonance imaging (MRI) of your brain. We may also need to have you do some physical therapy exercises and other diagnostic procedures such as an interview, evaluation, and consultation with a specialist. Additionally, we may need to carry out an occupational therapy assessment, speech therapy, liver function tests, and a diagnostic spinal tap to be sure and give you the appropriate treatment.']",0.7775,0.8102,0.7935,31.3593,1,
"Hi doctor, I think I have a cyst on my eyelid. It's been bothering me for a while now and it's starting to affect my vision. ","Based on the symptoms described, it is possible thatBased on the symptoms described, it is possible thatzion or a stye on which includes a thorough inspection of the eyelid and surrounding area. If necessary, other diagnostic procedures such as imaging studies may be recommended to rule out any underlying conditions. Recommended medications for treating a chalazion or stye include topical antibiotic ointments or eye drops, warm compresses, and in some cases, oral antibiotics if there is an associated infection. It is important to avoid squeezing or popping the cyst, as this can worsen the condition or lead to complications.","['Based on your symptoms, the required medical test for your condition would be excision (removal) and biopsy of the cyst. However, if the cyst has caused damage to your vision, we may need to do lens and cataract procedures, other therapeutic procedures on your eyelids, conjunctiva, or cornea, or even a corneal transplant. We may also need to do ophthalmologic and otologic diagnosis and treatment. Lastly, procedures on the spleen may be necessary only in rare cases.']",0.7917,0.8059,0.7988,34.2719,1,
"Doctor, I have been experiencing redness, swelling and pain in my penis head for the past few days. I think I might have Balanitis.","Based on the symptoms described, the patient may haveBased on the symptoms described, the patient may have is an inflammation of the gl the patient should undergo a physical examination of the penis and possibly a biopsy of the affected tissue. Recommended treatments for Balanitis include keeping the penis clean and dry, using topical antibiotics or antifungal creams, and in severe cases, surgery to remove the affected tissue. It is also recommended to avoid tight-fitting clothing and irritants, and to practice good hygiene.","['It is advisable to undergo a Complete physical skin exam performed, Urinalysis, a Rectal examination, and Prostate specific antigen measurement. Also, we may need to perform Excision and Other diagnostic procedures like an interview, evaluation and consultation. As part of the treatment plan, we may recommend you to get Prophylactic vaccinations and inoculations.']",0.7742,0.8159,0.7945,37.0593,1,
"Doctor, I feel like there is something stuck in my throat and I can't seem to swallow properly.","Based on the symptoms described, the patient may be experiencing a condition known as dysphagia, which is difficulty in swallowing. To confirm the diagnosis and identify any underlying causes, the patient should undergo a series of medical examinations. These may include plain X-ray imaging, tracheoscopy and laryngoscopy with biopsy, and radiographic imaging procedures. Additionally, diagnostic procedures specific to the nose, mouth, and pharynx may be necessary.

In terms of treatment, there are several medications that may be prescribed to alleviate the symptoms. These include Cefoxitin, Triethanolamine Polypeptide Oleate Otic, Fluvoxamine (Luvox), Lidocaine-Prilocaine Topical, Papain Topical, and Beclomethasone Nasal Product. It is important for the patient to follow the prescribed treatment plan and consult with their healthcare provider for further guidance.","['Based on your symptoms, you may have a foreign body in your throat. We will need to do a radiographic imaging procedure, such as a plain x-ray, to locate the object.Patient Is there a possibility of removing it non-operatively?']",0.7400,0.8238,0.7797,33.0767,1,
"Hi doctor, I have been struggling with drug abuse, especially cocaine. I want to get help.","Based on the symptoms described, it appears that you are struggling with drug abuse, specifically cocaine. To address this issue, it is important to undergo a thorough medical examination to assess the extent of the problem and develop an appropriate treatment plan. This may include blood tests, urinalysis, and other hematologic tests to evaluate your overall health and identify any potential complications related to drug use. Additionally, a depression screen and psychological evaluation can help determine if there are underlying mental health issues that need to be addressed. Treatment options for drug abuse may involve medication-assisted therapy, counseling, and support groups to help you overcome addiction and achieve long-term recovery. It is also important to consider lifestyle changes such as avoiding triggers and seeking support from friends and family.","[""I'm glad to hear that. In order to assess and treat your condition, I recommend a series of medical tests. These include mental health counseling and psychotherapy to address the underlying psychological issues that may contribute to your addiction. We will also need to conduct a urinalysis, electrocardiogram, toxicology screen, blood alcohol test, and liver function test to evaluate your overall health and the extent of the damage caused by your drug use.""]",0.8229,0.8586,0.8404,36.5765,1,
"Hi Doctor, I have been experiencing vision problems lately, and my eye has been hurting with movements. Could you please help me?","Based on the symptoms described, the patient may be experiencing vision problems and eye pain with movements. To confirm the diagnosis, the patient should undergo an ophthalmic examination and evaluation (Eye exam), which includes a comprehensive assessment of the eyes and visual system. Recommended diagnostic procedures may also include other therapeutic procedures on the eyelids, conjunctiva, or cornea, as well as nonoperative removal of foreign bodies if applicable.

For potential treatment, medications such as Atropine (Uaa) and Tropicamide Ophthalmic can be considered to manage eye pain and related issues. Additionally, Prednisolone Ophthalmic may be prescribed to address inflammation in the eye. It is important for the patient to follow up with a healthcare professional for further evaluation and personalized treatment recommendations.","[""Based on what you've shared with me, it is possible that you might have optic neuritis. I would recommend a series of tests to confirm the diagnosis. We need to conduct a radiographic imaging procedure, a magnetic resonance imaging (MRI), and an ophthalmic examination and evaluation (eye exam). Additionally, a diagnostic spinal tap (spinal tap), diagnostic ultrasound of the heart (echocardiogram), and other therapeutic procedures on the eyelids, conjunctiva or cornea may also be required. Patient Thank you for your help, Doctor. I will get the tests done as soon as possible.""]",0.8252,0.8233,0.8243,12.5151,1,
"Doctor, I've been feeling some palpitations lately and my heart seems to be racing at times.","Based on the symptoms described, the patient may have palpitations and an irregular heartbeat. These symptoms could be indicative of several conditions such as atrial fibrillation, sick sinus syndrome, coronary atherosclerosis, or even panic disorder. To confirm the diagnosis, the patient should undergo medical examinations such as an electrocardiogram (ECG) to evaluate heart rhythm and possibly an echocardiogram to assess heart structure and function. Recommended treatments for these conditions can vary widely; for instance, medications like beta-blockers or antiarrhythmic drugs might be prescribed to manage atrial fibrillation, while lifestyle changes and stress management techniques could be beneficial for panic disorder. It is important for the patient to consult with a healthcare professional for a thorough evaluation and personalized treatment plan.","[""Based on what you're describing, I suspect that you may have premature atrial contractions (PACs). Patient What kind of tests will I need to confirm this?""]",0.7226,0.7847,0.7524,24.6467,1,
"Doctor, I am experiencing weakness on one side of my body and difficulty in speaking. I was recently diagnosed with Hemiplegia. What medical tests do I need to undergo?","Based on the symptoms described, including weakness on oneBased on the symptoms described, including weakness on one difficulty in speaking, the patient including weakness on one side of the body and difficulty in speaking, the patient may have Hemiplegia. To confirm the diagnosis and assess the underlying cause, the patient should undergo several medical tests. These include an Electrocardiogram to evaluate heart function, Hematologic tests (Blood test) to check for any blood-related issues, Glucose measurement (Glucose level) to monitor blood sugar levels, Complete blood count (CBC) to assess overall blood health, X-ray computed tomography (Scan CT) to visualize internal structures, and Radiographic imaging procedures to get detailed images of affected areas. Additionally, other diagnostic procedures such as interviews or evaluations, physical therapy exercises, occupational therapy assessment (Speech therapy), and kidney function tests may be necessary to provide a comprehensive evaluation and develop an appropriate treatment plan.","['You will need to undergo a Magnetic resonance imaging (MRI) to assess the extent of brain damage caused by Hemiplegia. You may also require Radiographic imaging procedure and X-ray computed tomography (CT) scan to check for any underlying structural abnormalities. In addition, regular Physical therapy exercises will be essential for rehabilitation. Further evaluation will include a Glucose measurement (Glucose level) to rule out diabetes and an Electrolytes panel to check for any electrolyte imbalances. Lastly, an Electrocardiogram will also be required to monitor your heart function.']",0.8173,0.8660,0.8409,32.8589,1,
"Doctor, my second toe is constantly bent downwards and it's causing me pain while walking. I think I might have hammer toe.","Based on the symptoms described, the patient may haveBased on the symptoms described, the patient may have a condition where the second toe which is a condition where the second toe is bent downwards and causes pain while walking. To confirm the diagnosis, the patient should undergo an examination of the foot, which may include a physical examination and possibly imaging tests such as plain X-rays. Recommended treatments for hammer toe may include wearing supportive shoes, using pads or splints to straighten the toe, and in severe cases, surgery to correct the deformity. It is also recommended to avoid tight or narrow shoes that can exacerbate the condition.","['Based on your symptoms, I would recommend a physical examination of your foot to confirm the diagnosis. In addition, we will need to do a plain x-ray to evaluate the extent of the deformity. Wound care management may be necessary if the toe is rubbing against your shoe and causing skin irritation. If the condition is severe, removal of the affected bone may be required through excision or bunionectomy. Electrocardiogram is not a test for this condition. Application of a splint may also be helpful to straighten out the toe.']",0.8376,0.8495,0.8435,31.1918,1,
"Doctor, I fell off my bike and got an open wound on my cheek. What do I need to do?","Based on the symptoms described, it seems you haveBased on the symptoms described, it seems you have cheek due to a fall from it seems you have an open wound on your cheek due to a fall from your bike. To address this, you should first clean the wound thoroughly with mild soap and water to remove any dirt or debris that could cause infection. After cleaning, apply an antiseptic solution to disinfect the area. It's important to cover the wound with a sterile bandage or dressing to protect it from further contamination and to keep it moist, which can promote healing. If the wound is deep, large, or if you notice signs of infection such as increased redness, swelling, warmth, or pus, you should seek medical attention promptly. Additionally, consider taking over-the-counter pain relievers like ibuprofen or acetaminophen to manage pain and reduce inflammation. Keep an eye on the wound for any changes and follow up with a healthcare professional if necessary.","['We need to suture your wound to close it up. Additionally, we need to do a radiographic imaging procedure to see if there is any damage to your bones or tissues. This will include a plain x-ray and a CT scan of your head. We also need to do wound care management to prevent infection. Lastly, we need to culture the wound to see if there is any bacterial infection.']",0.7608,0.8244,0.7913,32.1311,0,
"Doctor, I've been having swelling and pain in my knee joint for the past few days. It's difficult for me to bend or straighten my leg. ","Based on the symptoms described, the patient may have knee joint inflammation or arthritis. To confirm the diagnosis, the patient should undergo an arthrocentesis to remove fluid from the knee joint for analysis, a physical therapy evaluation, and possibly plain x-rays or magnetic resonance imaging (MRI) to assess the joint structure. Recommended medications for knee joint pain and swelling include anti-inflammatory drugs such as piroxicam and cortisone, which can help reduce inflammation and pain. It is also recommended to rest the affected leg and avoid activities that exacerbate the symptoms.","[""Based on your symptoms, it's possible that you have joint effusion. To confirm this, we need to perform a radiographic imaging procedure. This may involve a plain X-ray or an MRI, depending on the severity of your condition. We may also recommend physical therapy exercises or the application of a splint to relieve your symptoms. Additionally, we may need to examine your foot and recommend other non-OR therapeutic procedures on your musculoskeletal system.""]",0.8121,0.8266,0.8193,33.7809,1,
